ID;MATERIAL;DESCRIÇÃO;LOCAL
1330;RES043;RESISTOR CR25 3K6 CARBONO;BB-03
1331;RES044;RESISTOR CR25 3K9 CARBONO;BB-03
1332;RES045;RESISTOR CR25 470K CARBONO;BB-03
1333;RES046;RESISTOR CR25 470R CARBONO;BC-03
1334;RES047;RESISTOR CR25 47K CARBONO;BB-03
1335;RES048;RESISTOR CR25 47R CARBONO;BC-03
1336;RES049;RESISTOR CR25 51K CARBONO;BB-03
1337;RES050;RESISTOR 560K 1/4W;BB-03
1338;RES051;RESISTOR 10R 1W CARVAO;BC-03
1339;RES052;RESISTOR CR25 68R CARBONO;BC-03
1340;RES053;RESISTOR CR25 6K8 CARBONO;BB-03
1341;RES054;RESISTOR CR25 6M8 CARBONO;BD-03
1342;RES055;RESISTOR CR25 820K CARBONO;BB-03
1343;RES056;RESISTOR CR25 820R CARBONO;BC-03
1344;RES057;RESISTOR CR25 82K CARBONO;BB-03
1345;RES058;RESISTOR CR25 8K2 CARBONO;BB-03
1346;RES059;RESISTOR CR25 8M2 CARBONO;CB-02
1347;RES063;RESISTOR SMD 0805 100K;SALA SMD / BB-03
1348;RES065;RESISTOR 4R7 5W CARVAO;BC-03
1349;RES066;RESISTOR CR12 100K;CB-02
1350;RES067;RESISTOR CR12 10K;CB-02
1351;RES068;RESISTOR CR12 10M;BC-03
1352;RES070;RESISTOR CR12 1K5;BC-03
1353;RES071;RESISTOR CR12 1M;CB-02
1354;RES072;RESISTOR CR12 220R;BC-03
1355;RES073;RESISTOR CR12 27R        ;BC-03
1356;RES074;RESISTOR CR12 33K;CB-02
1357;RES075;RESISTOR CR25 270K CARBONO;BB-03
1358;RES076;RESISTOR CR12 390R;CB-02
1359;RES077;RESISTOR CR12 39K;BC-03
1360;RES078;RESISTOR CR12 3M3;CB-02
1361;RES079;RESISTOR CR12 470K;CB-02
1362;RES080;RESISTOR CR12 47K;CB-02
1363;RES081;RESISTOR CR12 4K7;CB-02
1364;RES082;RESISTOR CR12 56K;CB-02
1365;RES083;RESISTOR CR12 75K;CB-02
1366;RES084;RESISTOR CR12 82K;CB-02
1367;RES085;RESISTOR CR25 100K CARBONO;BB-03
1368;RES086;RESISTOR CR25 100R CARBONO;BC-03
1369;RES087;RESISTOR CR25 10K CARBONO;BB-03
1370;RES088;RESISTOR CR25 10M CARBONO;CB-02
1371;RES089;RESISTOR CR25 10R CARBONO;BD-03
1372;RES090;RESISTOR 0,56R 5W;BC-03
1373;RES092;RESISTOR 68R 1W;BC-03
1374;RES093;RESISTOR CR12 470R;BC-03
1375;RES094;RESISTOR SMD 0805 10K;SALA SMD
1376;RES095;RESISTOR CR12 22K;CB-02
1377;RES099;RESISTOR CR25 2K2 CARBONO;BB-03
1378;RES100;RESISTOR CR25 680R CARBONO;BC-03
1379;RES101;RESISTOR CR12 3K6;CB-02
1380;RES102;RESISTOR CR12 330K;BC-03
1381;RES103;RESISTOR CR12 68K;CB-02
1382;RES104;RESISTOR CR25 330R CARBONO;BC-03
1383;RES105;RESISTOR CR25 22R CARBONO;BD-03
1384;RES106;RESISTOR 0,1R 5W CARVAO;BC-03
1385;RES108;RESISTOR SMD 0805 220K;SALA SMD
1386;RES109;RESISTOR SMD 0805 1M;SALA SMD / BC-03
1387;RES110;RESISTOR SMD 0805 330K;SALA SMD
1388;RES111;RESISTOR SMD 0805 180R;SALA SMD
1389;RES112;RESISTOR SMD 0805 4K7;SALA SMD
1390;RES113;RESISTOR SMD 0805 390R;SALA SMD
1391;RES114;RESISTOR SMD 0805 75K;SALA SMD
1392;RES115;RESISTOR SMD 0805 47R;SALA SMD
1393;RES116;RESISTOR SMD 0805 4M7;SALA SMD
1394;RES117;RESISTOR SMD 0805 47K;SALA SMD
1395;RES118;RESISTOR SMD 0805 39K;SALA SMD
1396;RES122;RESISTOR CR12 1K;BC-03
1397;RES123;RESISTOR 27R 1W CARVAO;BC-03
1398;RES124;RESISTOR SMD 0805 470K;SALA SMD
1399;RES125;RESISTOR SMD 0805 2K2;SALA SMD
1400;RES126;RESISTOR SMD 0805 220R;SALA SMD
1401;RES127;RESISTOR SMD 0805 3M3;SALA SMD
1402;RES129;RESISTOR 47K 1W;BD-03
1403;RES130;RESISTOR SMD 0805 470R;SALA SMD
1404;RES131;RESISTOR 560R 1W;BC-03
1405;RES133;RESISTOR 330R 5W FIO;BD-03
1406;RES134;RESISTOR 270R 5W FIO;BC-03
1407;RES136;RESISTOR CR25 330K CARBONO;BB-03
1408;RES137;RESISTOR CR25 1K8 CARBONO;BB-03
1409;RES140;RESISTOR 1% 10K MRS;BD-03
1410;RES141;RESISTOR CR25 68K CARBONO;BB-03
1411;RES142;RESISTOR 470R 5W FIO;BC-03
1412;RES143;RESISTOR SMD 0805 270R;SALA SMD
1413;RES144;RESISTOR 33K 1W CARVAO;BB-03
1414;RES145;RESISTOR CR25 4M7 CARBONO;CB-02
1415;RES146;RESISTOR SMD 0805 68K;SALA SMD
1416;RES147;RESISTOR SMD 0805 1K;SALA SMD
1417;RES150;RESISTOR SMD 0805 100R;SALA SMD
1418;RES151;RESISTOR SMD 0805 10M;SALA SMD
1419;RES152;RESISTOR SMD 0805 10R;SALA SMD
1420;RES153;RESISTOR 18R 5W FIO;BC-03
1421;RES154;RESISTOR SMD 0805 3K6;SALA SMD
1422;RES155;RESISTOR SMD 0805 150K;SALA SMD
1423;RES156;RESISTOR SMD 0805 2K7;SALA SMD
1424;RES157;RESISTOR SMD 0805 18K;SALA SMD
1425;RES158;RESISTOR SMD 0805 33K;SALA SMD
1426;RES159;RESISTOR SMD 0805 0R;SALA SMD
1427;RES160;RESISTOR 2R2 2W;BC-03
1428;RES162;RESISTOR 10R 2W;BC-03
1429;RES163;RESISTOR 10R 3W;BC-03
1430;RES164;RESISTOR SMD 0805 1K2;SALA SMD
1431;RES166;RESISTOR 100R 2W;BC-03
1432;RES167;RESISTOR 0,1R 1W;BD-03
1433;RES168;RESISTOR 10K 1W;BD-03
1434;RES169;RESISTOR SMD 0805 330R;SALA SMD
1435;RES170;RESISTOR SMD 0805 120K;SALA SMD
1436;RES171;RESISTOR SMD 0805 22K;SALA SMD
1437;RES172;RESISTOR SMD 0805 82R 5%;SALA SMD
1438;RES173;RESISTOR SMD 0805 51R 5%;SALA SMD
1439;RES174;RESISTOR SMD 0805 12K4 1/8W 1%;SALA SMD
1440;RESTO DE PONTEIRAS;RESTO DE PONTEIRAS;G.03
1441;RLE001;RELE A1RC2 12VCC (10A);OBSOL - A6
1442;RLE002;RELE 12V 30A N/A (6 PINOS);BF-02
1443;RLE003;RELE 12V 15A;BF-02
1444;RLE008;RELE HJR-3FF-S-Z 06VDC 10 A;BF-02
1445;RP203-001;PLACA CONTROLADORA RGB RP203;G.24
1446;RP207-001;PLACA CONTROLADORA MONO RP207 2A;G.19
1447;RP208-001;TECLADO RP208 COM 2 TECLAS;G.09
1448;RP208-002;TECLADO RP208 COM 3 TECLAS;G.09
1449;RP208-003;TECLADO RP208 COM 6 TECLAS;G.09
1450;RU100-001;LAMPADA UVC 7W - LEDLIGHT RU100;G.14
1451;STR001;SCR 40TTS12;OBSOL - A2
1452;STR004;SCR BT-151 500V 12A;OBSOL - A2
1453;STR006;DIAC DB3O;OBSOL - A1
1454;STR007;TRANSISTOR TRIAC BTA 12600;BB-02
1455;TFB001;TRAFO REF. 002 127/220 12+12 V 1,8VA PCI91-4;DE-04
1456;TFB002;TRAFO REF. 047 120/220 10+10 V 11VA ABR-CAB COD 63-9;DF-04
1457;TFB003;TRAFO REF. 008 127/220 10+10 V 11VA ABRAC/TER 342-5;I.29 - VENDAS
1458;TFB007;TRAFO REF. 050 127/220 12-9VAC 23 VA;I.29 - VENDAS
1459;TFB010;TRAFO REF. 013 127/220 10+10 V E 20 V 190VAC;I.29 - VENDAS
1460;TFB011;TRAFO REF. 024 127/220 9 VOLTS 5VA ABR-CAB;DE-04
1461;TFB017;TRAFO REF. 018 127/220 10+10 VAC GO 14VA;DE-04
1462;TFB019;TRAFO REF. 02762 NEE 20/10/5 91#30//15#21 HOR;DE-04
1463;TFB020;INDUTOR 0410 1/2W 1UH;DF-04
1464;TFB021;INDUTOR SMD 1UH 250MA (0805);DF-04
1465;TRS001;TRANSISTOR BC807 SMD (SOT23);SALA SMD
1466;TRS002;TRANSISTOR BC848 SMD (SOT23);SALA SMD
1467;TRS003;TRANSISTOR BC548;BB-02
1468;TRS004;TRANSISTOR BC327;BB-02
1469;TRS005;TRANSISTOR IRF540N;BB-02
1470;TRS007;TRANSISTOR BC857 SMD (SOT23);OBSOL - A6
1471;TRS008;TRANSISTOR 2N5551C;BB-02
1472;TRS009;TRANSISTOR IRFZ48N MOSFET;OBSOL - A6
1473;TRS010;TRANSISTOR TIP42;BB-02
1474;TRS011;TRANSISTOR BC337;BB-02
1475;TRS012;TRANSISTOR MJE2955T;OBSOL - A6
1476;TRS014;TRANSISITOR BD140;BB-02
1477;TRS016;TRANSISTOR KSP42 (TO92);OBSOL - A6
1478;TRS017;TRANSISTOR BCP53 PNP SMD SOT223;SALA SMD
1479;TRS018;TRANSISTOR IPP60R600;BB-02
1480;TRS019;TRANSISTOR MMBTA42 SMD (SOT23);SALA SMD
1481;TRS020;FOTOTRANSISTOR RECEPTOR 5MM;DG-05
1482;TRS021;TRANSISTOR TIP41C TO-220;BB-02
1483;TRS022;TRANSISTOR BC546;OBSOL - A6
1484;TRS023;TRANSISTOR 2N5551C;BB-02
1485;TRS024;TRANSISTOR BCP56TIG NPN SMD SOT223;SALA SMD
1486;VAR003;VARISTOR 150V 7 MM - S150K07;OBSOL - A5
1487;VAR004;VARISTOR 130V 14MM;BB-02
1488;VAR005;VARISTOR 275VAC 10MM;BB-02
1489;FWCLT-039-E;CHICOTE PARA PONTEIRA CXP101 VELOCIDADE;G.18
1490;FWCLT-039-D;CHICOTE PARA PONTEIRA CXP102 VELOCIDADE;G.18
1491;KIT PONTEIRAS;KIT PONTEIRAS (ÚLTIMA COMPRA);G.23
1492;FWCLF-H01-003;CHICOTE INVERSOR HERCULES HD300 LINHA FITNESS SEM FONTE;H.08
1493;THD100;TERMO HIGROMETRO DIGITAL COM TECLADO MECANICO 6 TECLAS - SERIAL RS232 - WIFI;I.18
1494;FWCDV-019;CHICOTE ATERRAMENTO CARCACA CONECTOR FASTON E ANEL 6.3;I.24 - ONFIT
1495;FWT166-3F-001;TECLADO FW166 3 TECLAS 12X12X8,5 CONEC. 8 VIAS ALOJAMENTO;I.16
1496;FWU500-HRS-001;PLACA FW500 HAND GRIP RS232 CONECTOR 90 GRAUS;H.12
1497;FWT156-14F-001;TECLADO FW156 14 TECLAS 12X12X8,5 CONEC. MOLEX 9 VIAS E CONC. PENCI 4 VIAS - CHICOTE 35 CM;I.03
